!f(MHz)	g11	b11	g12	b12	g21	b21	g22	b22
50	5	4.5	0.001	-0.1	103.63	-78	88.30	482.78
60	5.8	4.8	0.001	-0.145	87.57	-81.51	113.71	548.33
70	6.5	5	0.001	0.19	74.24	-83.63	135.19	610.64
80	7	5.1	0.001		62.72	-85.75	153.80	670.31
90	7.5	5.2	0.001	-0.2	54.54	-87.272	170.22	727.77
100	7.9	5.3	0.001	-0.275	47.27	-88.78	184.90	783.33
110	8.1	5.4	0.001	-0.3	42.3	-87.66	198.19	837.23
120	8.8	5.4	0.001	-0.32	41.2	-87.300	210.31	889.68
130	9	5.3	0.001	-0.34	40	-87.000	221.47	940.82
140	9.2	5.2	0.001	-0.36	35.7	-82.000	231.80	990.78
150	9.5	5.15	0.001	-37	30.8	-80.000	241.41	1039.68
160	10	5.1	0.001	-0.385	25.9	-75.300	250.41	1087.60
170	10.3	5.05	0.001	-0.4	20.6	-73	258.86	1134.63
180	10.5	5	0.001	-0.42	18	-70.000	266.82	1180.83
190	10.8	4.95	0.001	-0.43	16.96	-67.500	274.36	1226.26
200	11	4.9	0.001	-0.45	14.54	-65.000	281.51	1270.97
210	11.3	4.8	0.001	-0.5	13.7	-64.800	288.31	1315.02
220	11.5	4.75	0.001	-0.53	12.3	-63.200	294.79	1358.43
230	11.7	4.7	0.001	-0.57	10.5	-60.300	300.99	1401.26
240	11.9	4.6	0.001	-0.59	10.3	-57.700	306.92	1443.52
250	12	4.5	0.001	-0.6	10.3	-56.300	312.61	1485.26
260	12.3	4.4	0.001	-0.62	10.2	-55.45	318.08	1526.50
270	12.5	4.3	0.001	-0.65	10.2	-55.000	323.34	1567.26
280	12.7	4.2	0.001	-0.7	10.15	-54.100	328.40	1607.57
290	12.9	4.1	0.001	-0.73	10.1	-50.000	333.30	1647.44
300	13	4	0.001	-0.75	10.1	-49	338.02	1686.91
350	13.9	3.7	0.001	-0.8	10.1	-40.100	359.5044295	1878.606671
400	14.9	3.1	0.001	-0.92	10.1	-37.1	378.1150757	2062.187901
450	15.5	2.9	0.001	-1.08	10.1	-30.500	394.5308291	2238.953324
500	16	2.5	0.001	-1.2	10.1	-27.5	409.2152209	2409.876634
